Survey,Year,Quarter,AphiaID,Species,IndexArea,Sex,PlusGr,Age_0,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,DateofCalculation
NS-IBTS,1970,1,126417,Clupea harengus,NS_Her,,5,0.000,559.329,96.386,2.044,0.151,0.305,,,,,,,,,,,
NS-IBTS,1970,1,126417,Clupea harengus,NS_Her1to7,,5,0.000,37.987,0.000,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1970,1,126417,Clupea harengus,NS_Her1to9,,5,0.000,37.268,0.000,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1971,1,126417,Clupea harengus,NS_Her,,5,0.000,1781.096,777.970,37.140,4.536,0.197,,,,,,,,,,,
NS-IBTS,1971,1,126417,Clupea harengus,NS_Her1to7,,5,0.000,542.561,0.000,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1971,1,126417,Clupea harengus,NS_Her1to9,,5,0.000,529.327,0.000,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1972,1,126417,Clupea harengus,NS_Her,,5,0.000,1794.074,506.708,25.744,8.017,3.672,,,,,,,,,,,
NS-IBTS,1972,1,126417,Clupea harengus,NS_Her1to7,,5,0.000,121.598,0.000,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1972,1,126417,Clupea harengus,NS_Her1to9,,5,0.000,113.202,0.000,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1973,1,126417,Clupea harengus,NS_Her,,5,0.000,452.700,110.032,20.232,2.788,0.723,,,,,,,,,,,
NS-IBTS,1973,1,126417,Clupea harengus,NS_Her1to7,,5,0.000,7.177,0.000,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1973,1,126417,Clupea harengus,NS_Her1to9,,5,0.000,7.798,0.000,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1974,1,126417,Clupea harengus,NS_Her,,5,0.000,557.715,199.897,9.682,1.252,0.437,,,,,,,,,,,
NS-IBTS,1974,1,126417,Clupea harengus,NS_Her1to7,,5,0.000,45.278,0.000,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1974,1,126417,Clupea harengus,NS_Her1to9,,5,0.000,47.196,0.000,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1975,1,126417,Clupea harengus,NS_Her,,5,0.000,936.372,78.323,13.337,2.560,0.883,,,,,,,,,,,
NS-IBTS,1975,1,126417,Clupea harengus,NS_Her1to7,,5,0.000,22.679,0.000,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1975,1,126417,Clupea harengus,NS_Her1to9,,5,0.000,25.656,0.000,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1976,1,126417,Clupea harengus,NS_Her,,5,0.000,823.386,51.082,0.771,0.428,0.048,,,,,,,,,,,
NS-IBTS,1976,1,126417,Clupea harengus,NS_Her1to7,,5,0.000,6.828,0.000,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1976,1,126417,Clupea harengus,NS_Her1to9,,5,0.000,115.861,0.000,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1977,1,126417,Clupea harengus,NS_Her,,5,0.000,269.852,24.263,1.569,0.051,0.221,,,,,,,,,,,
NS-IBTS,1977,1,126417,Clupea harengus,NS_Her1to7,,5,0.000,11.717,0.000,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1977,1,126417,Clupea harengus,NS_Her1to9,,5,0.000,21.328,0.000,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1978,1,126417,Clupea harengus,NS_Her,,5,0.000,594.506,19.615,5.655,28.364,2.696,,,,,,,,,,,
NS-IBTS,1978,1,126417,Clupea harengus,NS_Her1to7,,5,0.000,20.344,0.000,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1978,1,126417,Clupea harengus,NS_Her1to9,,5,0.000,48.932,0.000,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1979,1,126417,Clupea harengus,NS_Her,,5,0.000,167.880,25.343,7.669,0.442,1.378,,,,,,,,,,,
NS-IBTS,1979,1,126417,Clupea harengus,NS_Her1to7,,5,0.000,11.668,0.000,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1979,1,126417,Clupea harengus,NS_Her1to9,,5,0.000,10.979,0.000,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1980,1,126417,Clupea harengus,NS_Her,,5,0.000,316.211,21.332,9.771,2.508,5.357,,,,,,,,,,,
NS-IBTS,1980,1,126417,Clupea harengus,NS_Her1to7,,5,0.000,106.118,0.000,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1980,1,126417,Clupea harengus,NS_Her1to9,,5,0.000,108.161,0.000,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1981,1,126417,Clupea harengus,NS_Her,,5,0.000,494.585,257.586,20.154,20.249,25.357,,,,,,,,,,,
NS-IBTS,1981,1,126417,Clupea harengus,NS_Her1to7,,5,0.000,40.561,0.000,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1981,1,126417,Clupea harengus,NS_Her1to9,,5,0.000,50.752,0.000,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1982,1,126417,Clupea harengus,NS_Her,,5,0.000,798.265,94.784,20.026,2.774,3.499,,,,,,,,,,,
NS-IBTS,1982,1,126417,Clupea harengus,NS_Her1to7,,5,0.000,184.664,0.000,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1982,1,126417,Clupea harengus,NS_Her1to9,,5,0.000,177.350,0.000,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1983,1,126417,Clupea harengus,NS_Her,,5,0.000,1270.084,139.268,44.545,14.018,24.177,,,,,,,,,,,
NS-IBTS,1983,1,126417,Clupea harengus,NS_Her1to7,,5,0.000,184.597,0.000,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1983,1,126417,Clupea harengus,NS_Her1to9,,5,0.000,192.041,0.000,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1984,1,126417,Clupea harengus,NS_Her,,5,0.000,1515.627,161.480,61.428,26.888,10.238,,,,,,,,,,,
NS-IBTS,1984,1,126417,Clupea harengus,NS_Her1to7,,5,0.000,296.908,0.000,0.000,0.000,0.626,,,,,,,,,,,
NS-IBTS,1984,1,126417,Clupea harengus,NS_Her1to9,,5,0.000,346.252,0.000,0.000,0.000,0.586,,,,,,,,,,,
NS-IBTS,1985,1,126417,Clupea harengus,NS_Her,,5,0.000,2097.280,721.646,281.990,42.088,27.941,,,,,,,,,,,
NS-IBTS,1985,1,126417,Clupea harengus,NS_Her1to7,,5,0.000,298.088,0.000,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1985,1,126417,Clupea harengus,NS_Her1to9,,5,0.000,315.194,0.000,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1986,1,126417,Clupea harengus,NS_Her,,5,0.000,2662.812,782.122,276.031,79.007,28.076,,,,,,,,,,,
NS-IBTS,1986,1,126417,Clupea harengus,NS_Her1to7,,5,0.000,389.921,0.000,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1986,1,126417,Clupea harengus,NS_Her1to9,,5,0.000,596.222,0.000,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1987,1,126417,Clupea harengus,NS_Her,,5,0.000,3692.965,917.550,116.315,59.351,48.763,,,,,,,,,,,
NS-IBTS,1987,1,126417,Clupea harengus,NS_Her1to7,,5,0.000,528.609,0.000,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1987,1,126417,Clupea harengus,NS_Her1to9,,5,0.000,627.687,0.000,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1988,1,126417,Clupea harengus,NS_Her,,5,0.000,4394.168,4163.384,791.528,57.957,25.054,,,,,,,,,,,
NS-IBTS,1988,1,126417,Clupea harengus,NS_Her1to7,,5,0.000,720.326,1.112,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1988,1,126417,Clupea harengus,NS_Her1to9,,5,0.000,2371.177,1.044,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1989,1,126417,Clupea harengus,NS_Her,,5,0.000,2331.566,875.336,338.514,89.381,8.519,,,,,,,,,,,
NS-IBTS,1989,1,126417,Clupea harengus,NS_Her1to7,,5,0.000,530.903,0.000,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1989,1,126417,Clupea harengus,NS_Her1to9,,5,0.000,595.655,0.000,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1990,1,126417,Clupea harengus,NS_Her,,5,0.000,1061.572,462.097,279.780,269.108,71.303,,,,,,,,,,,
NS-IBTS,1990,1,126417,Clupea harengus,NS_Her1to7,,5,0.000,61.516,0.000,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1990,1,126417,Clupea harengus,NS_Her1to9,,5,0.000,70.003,0.000,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1991,1,126417,Clupea harengus,NS_Her,,5,0.000,1286.747,693.020,258.604,221.523,146.096,,,,,,,,,,,
NS-IBTS,1991,1,126417,Clupea harengus,NS_Her1to7,,5,0.000,337.181,0.000,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1991,1,126417,Clupea harengus,NS_Her1to9,,5,0.000,329.924,0.000,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1992,1,126417,Clupea harengus,NS_Her,,5,0.000,1268.145,436.563,193.085,54.810,92.268,,,,,,,,,,,
NS-IBTS,1992,1,126417,Clupea harengus,NS_Her1to7,,5,0.000,129.963,0.000,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1992,1,126417,Clupea harengus,NS_Her1to9,,5,0.000,124.673,0.000,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1993,1,126417,Clupea harengus,NS_Her,,5,0.000,2794.007,787.421,222.585,45.042,65.534,,,,,,,,,,,
NS-IBTS,1993,1,126417,Clupea harengus,NS_Her1to7,,5,0.000,175.977,0.571,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1993,1,126417,Clupea harengus,NS_Her1to9,,5,0.000,675.724,0.532,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1994,1,126417,Clupea harengus,NS_Her,,5,0.000,1752.053,1167.221,213.059,69.004,42.503,,,,,,,,,,,
NS-IBTS,1994,1,126417,Clupea harengus,NS_Her1to7,,5,0.000,239.541,0.000,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1994,1,126417,Clupea harengus,NS_Her1to9,,5,0.000,283.408,0.000,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1995,1,126417,Clupea harengus,NS_Her,,5,0.000,1345.754,1392.857,278.544,36.670,6.551,,,,,,,,,,,
NS-IBTS,1995,1,126417,Clupea harengus,NS_Her1to7,,5,0.000,445.110,0.000,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1995,1,126417,Clupea harengus,NS_Her1to9,,5,0.000,449.045,0.000,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1996,1,126417,Clupea harengus,NS_Her,,5,0.000,1890.872,197.522,32.875,10.193,8.079,,,,,,,,,,,
NS-IBTS,1996,1,126417,Clupea harengus,NS_Her1to7,,5,0.000,467.270,0.000,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1996,1,126417,Clupea harengus,NS_Her1to9,,5,0.000,604.264,0.000,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1997,1,126417,Clupea harengus,NS_Her,,5,0.000,4402.996,498.645,162.770,37.122,22.766,,,,,,,,,,,20120423
NS-IBTS,1997,1,126417,Clupea harengus,NS_Her1to7,,5,0.000,1088.609,115.787,0.000,0.000,0.000,,,,,,,,,,,20120423
NS-IBTS,1997,1,126417,Clupea harengus,NS_Her1to9,,5,0.000,1355.797,107.504,0.000,0.000,0.000,,,,,,,,,,,20120423
NS-IBTS,1998,1,126417,Clupea harengus,NS_Her,,5,0.000,2275.845,791.593,95.660,20.810,17.841,,,,,,,,,,,
NS-IBTS,1998,1,126417,Clupea harengus,NS_Her1to7,,5,0.000,1399.127,10.083,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1998,1,126417,Clupea harengus,NS_Her1to9,,5,0.000,1321.938,9.392,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1999,1,126417,Clupea harengus,NS_Her,,5,0.000,752.862,450.623,501.325,98.179,35.566,,,,,,,,,,,
NS-IBTS,1999,1,126417,Clupea harengus,NS_Her1to7,,5,0.000,149.087,0.000,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,1999,1,126417,Clupea harengus,NS_Her1to9,,5,0.000,152.247,0.000,0.000,0.000,0.000,,,,,,,,,,,
NS-IBTS,2000,1,126417,Clupea harengus,NS_Her,,5,0.000,3303.932,131.854,107.290,115.160,8.754,,,,,,,,,,,20120423
NS-IBTS,2000,1,126417,Clupea harengus,NS_Her1to7,,5,0.000,938.614,0.000,0.000,0.000,0.000,,,,,,,,,,,20120423
NS-IBTS,2000,1,126417,Clupea harengus,NS_Her1to9,,5,0.000,1067.555,0.000,0.000,0.000,0.000,,,,,,,,,,,20120423
NS-IBTS,2001,1,126417,Clupea harengus,NS_Her,,5,0.000,2499.391,1129.308,317.069,93.886,68.284,,,,,,,,,,,20120423
NS-IBTS,2001,1,126417,Clupea harengus,NS_Her1to7,,5,0.000,307.284,1.727,0.000,0.000,0.000,,,,,,,,,,,20120423
NS-IBTS,2001,1,126417,Clupea harengus,NS_Her1to9,,5,0.000,328.019,1.618,0.000,0.000,0.000,,,,,,,,,,,20120423
NS-IBTS,2002,1,126417,Clupea harengus,NS_Her,,5,0.000,3881.426,485.620,252.894,19.290,17.324,,,,,,,,,,,20120423
NS-IBTS,2002,1,126417,Clupea harengus,NS_Her1to7,,5,0.000,1435.911,0.000,0.000,0.000,0.000,,,,,,,,,,,20120423
NS-IBTS,2002,1,126417,Clupea harengus,NS_Her1to9,,5,0.000,1519.946,0.000,0.000,0.000,0.000,,,,,,,,,,,20120423
NS-IBTS,2003,1,126417,Clupea harengus,NS_Her,,5,0.000,2836.700,1512.943,441.896,354.929,43.781,,,,,,,,,,,20120423
NS-IBTS,2003,1,126417,Clupea harengus,NS_Her1to7,,5,0.000,179.787,4.915,0.000,0.000,0.000,,,,,,,,,,,20120423
NS-IBTS,2003,1,126417,Clupea harengus,NS_Her1to9,,5,0.000,663.576,4.609,0.000,0.000,0.000,,,,,,,,,,,20120423
NS-IBTS,2004,1,126417,Clupea harengus,NS_Her,,5,0.000,979.031,450.984,777.309,112.375,171.232,,,,,,,,,,,20130826
NS-IBTS,2004,1,126417,Clupea harengus,NS_Her1to7,,5,0.000,710.163,5.830,0.000,0.000,0.000,,,,,,,,,,,20130826
NS-IBTS,2004,1,126417,Clupea harengus,NS_Her1to9,,5,0.000,665.288,5.453,0.000,0.000,0.000,,,,,,,,,,,20130826
NS-IBTS,2005,1,126417,Clupea harengus,NS_Her,,5,0.000,1014.574,206.961,352.980,391.798,131.554,,,,,,,,,,,20130913
NS-IBTS,2005,1,126417,Clupea harengus,NS_Her1to7,,5,0.000,357.227,0.000,0.000,0.000,0.000,,,,,,,,,,,20130913
NS-IBTS,2005,1,126417,Clupea harengus,NS_Her1to9,,5,0.000,340.581,0.000,0.000,0.000,0.000,,,,,,,,,,,20130913
NS-IBTS,2006,1,126417,Clupea harengus,NS_Her,,5,0.000,899.732,1445.283,362.764,250.598,336.655,,,,,,,,,,,20130902
NS-IBTS,2006,1,126417,Clupea harengus,NS_Her1to7,,5,0.000,121.176,0.000,0.000,0.000,0.000,,,,,,,,,,,20130902
NS-IBTS,2006,1,126417,Clupea harengus,NS_Her1to9,,5,0.000,115.486,0.000,0.000,0.000,0.000,,,,,,,,,,,20130902
NS-IBTS,2007,1,126417,Clupea harengus,NS_Her,,5,0.000,1322.346,50.083,18.243,7.926,41.269,,,,,,,,,,,20130902
NS-IBTS,2007,1,126417,Clupea harengus,NS_Her1to7,,5,0.000,303.790,0.000,0.000,0.000,0.000,,,,,,,,,,,20130902
NS-IBTS,2007,1,126417,Clupea harengus,NS_Her1to9,,5,0.000,303.387,0.000,0.000,0.000,0.000,,,,,,,,,,,20130902
NS-IBTS,2008,1,126417,Clupea harengus,NS_Her,,5,0.000,1791.537,231.532,145.634,201.177,231.602,,,,,,,,,,,20130902
NS-IBTS,2008,1,126417,Clupea harengus,NS_Her1to7,,5,0.000,444.042,3.621,0.000,0.000,0.000,,,,,,,,,,,20130902
NS-IBTS,2008,1,126417,Clupea harengus,NS_Her1to9,,5,0.000,417.231,3.394,0.000,0.000,0.000,,,,,,,,,,,20130902
NS-IBTS,2009,1,126417,Clupea harengus,NS_Her,,5,0.000,2338.813,135.261,21.178,11.210,46.404,,,,,,,,,,,20130613
NS-IBTS,2009,1,126417,Clupea harengus,NS_Her1to7,,5,0.000,622.939,0.000,0.000,0.000,0.000,,,,,,,,,,,20130613
NS-IBTS,2009,1,126417,Clupea harengus,NS_Her1to9,,5,0.000,733.999,0.000,0.000,0.000,0.000,,,,,,,,,,,20130613
NS-IBTS,2010,1,126417,Clupea harengus,NS_Her,,5,0.000,1206.335,49.506,34.833,45.936,89.950,,,,,,,,,,,20130613
NS-IBTS,2010,1,126417,Clupea harengus,NS_Her1to7,,5,0.000,286.242,0.000,0.000,0.000,0.000,,,,,,,,,,,20130613
NS-IBTS,2010,1,126417,Clupea harengus,NS_Her1to9,,5,0.000,278.856,0.000,0.000,0.000,0.000,,,,,,,,,,,20130613
NS-IBTS,2011,1,126417,Clupea harengus,NS_Her,,5,0.000,2938.982,385.032,606.677,418.836,471.048,,,,,,,,,,,20130613
NS-IBTS,2011,1,126417,Clupea harengus,NS_Her1to7,,5,0.000,1407.163,0.000,0.000,0.000,0.000,,,,,,,,,,,20130613
NS-IBTS,2011,1,126417,Clupea harengus,NS_Her1to9,,5,0.000,1331.400,0.000,0.000,0.000,0.000,,,,,,,,,,,20130613
NS-IBTS,2012,1,126417,Clupea harengus,NS_Her,,5,0.000,1352.769,284.886,175.455,57.634,74.782,,,,,,,,,,,20130613
NS-IBTS,2012,1,126417,Clupea harengus,NS_Her1to7,,5,0.000,287.953,0.000,0.000,0.000,0.000,,,,,,,,,,,20130613
NS-IBTS,2012,1,126417,Clupea harengus,NS_Her1to9,,5,0.000,279.059,0.000,0.000,0.000,0.000,,,,,,,,,,,20130613
NS-IBTS,2013,1,126417,Clupea harengus,NS_Her,,5,0.000,1665.110,184.926,194.712,146.429,65.933,,,,,,,,,,,20131022
NS-IBTS,2013,1,126417,Clupea harengus,NS_Her1to7,,5,0.000,795.712,0.000,0.000,0.000,0.000,,,,,,,,,,,20131022
NS-IBTS,2013,1,126417,Clupea harengus,NS_Her1to9,,5,0.000,747.485,0.000,0.000,0.000,0.000,,,,,,,,,,,20131022
NS-IBTS,2014,1,126417,Clupea harengus,NS_Her,,5,0.000,2960.804,397.111,31.726,21.592,57.320,,,,,,,,,,,20140310
NS-IBTS,2014,1,126417,Clupea harengus,NS_Her1to7,,5,0.000,1583.036,0.000,0.000,0.000,0.000,,,,,,,,,,,20140310
NS-IBTS,2014,1,126417,Clupea harengus,NS_Her1to9,,5,0.000,1513.223,0.000,0.000,0.000,0.000,,,,,,,,,,,20140310
