#  log(Observed catch)- log(Expected catch)
# Species,Quarter,Year, Age_0, Age_1, Age_2, Age_3
1,4,2003,-99.9,-99.9,-99.9,-99.9
1,4,2004,-99.9,-99.9,-99.9,-99.9
1,4,2005,-99.9,-99.9,-99.9,-99.9
1,4,2006,-99.9,-99.9,-99.9,-99.9
1,4,2007,-99.9,-99.9,-99.9,-99.9
1,4,2008,-99.9,-99.9,-99.9,-99.9
1,4,2009,-99.9,-99.9,-99.9,-99.9
1,4,2010,-99.9,-99.9,-99.9,-99.9
1,4,2011,-99.9,-99.9,-99.9,-99.9
1,4,2012,-99.9,-99.9,-99.9,-99.9
1,4,2013,-99.9,-99.9,-99.9,-99.9
1,4,2014,-99.9,-99.9,-99.9,-99.9
1,4,2015,-99.9,-99.9,-99.9,-99.9
1,4,2016,-99.9,-99.9,-99.9,-99.9
1,4,2017,-99.9,-99.9,-99.9,-99.9
1,4,2018,-99.9,-99.9,-99.9,-99.9
